City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
156,Carrollton,US,2020-11-07 18:32:17,32.95,-96.89,75.0,53,20,6.93,few clouds
157,Nemuro,JP,2020-11-07 18:31:37,43.32,145.57,51.62,79,61,4.43,broken clouds
158,Sakakah,SA,2020-11-07 18:32:17,29.97,40.21,68.0,40,0,8.05,clear sky
159,Iraray,PH,2020-11-07 18:32:18,8.99,118.05,78.24,77,100,6.64,overcast clouds
160,Samarai,PG,2020-11-07 18:31:55,-10.62,150.67,80.89,83,1,8.55,light rain
161,Vardo,NO,2020-11-07 18:32:18,70.37,31.11,38.84,81,100,37.31,light rain
162,Yuksekova,TR,2020-11-07 18:32:18,37.57,44.29,46.4,93,20,9.17,few clouds
163,Torbay,CA,2020-11-07 18:31:00,47.67,-52.73,51.01,87,75,29.97,broken clouds
164,Adrar,MR,2020-11-07 18:32:18,20.5,-10.07,89.44,17,100,7.94,overcast clouds
165,Gazimurskiy Zavod,RU,2020-11-07 18:32:19,51.55,118.33,10.85,94,98,2.3,overcast clouds
166,Husavik,IS,2020-11-07 18:29:03,66.04,-17.34,42.8,60,75,17.22,broken clouds
167,Batticaloa,LK,2020-11-07 18:32:19,7.71,81.69,80.76,81,14,3.58,moderate rain
168,Barrow,US,2020-11-07 18:32:19,71.29,-156.79,30.2,86,90,23.04,light snow
169,Gazojak,TM,2020-11-07 18:32:19,41.19,61.4,55.26,64,100,12.93,overcast clouds
170,Prince Rupert,CA,2020-11-07 18:32:19,54.32,-130.32,39.2,80,1,6.93,clear sky
171,Leningradskiy,RU,2020-11-07 18:29:07,69.38,178.42,20.44,96,100,13.49,light snow
172,Ciudad Bolivar,VE,2020-11-07 18:32:20,8.12,-63.55,90.03,56,69,3.36,light rain
173,Itupiranga,BR,2020-11-07 18:32:20,-5.13,-49.33,93.2,52,40,4.7,scattered clouds
174,Saint Anthony,US,2020-11-07 18:32:20,45.02,-93.22,70.0,63,1,13.87,clear sky
175,Boffa,GN,2020-11-07 18:32:20,10.17,-14.03,80.82,86,6,5.77,light rain
176,Gamba,GA,2020-11-07 18:32:20,-2.65,10.0,76.48,92,62,6.02,broken clouds
177,Tazmalt,DZ,2020-11-07 18:32:21,36.39,4.4,68.0,52,0,4.7,clear sky
178,Asfi,MA,2020-11-07 18:32:21,32.3,-9.24,66.52,78,47,5.46,scattered clouds
179,Toora-Khem,RU,2020-11-07 18:32:21,52.47,96.11,26.53,95,77,2.66,broken clouds
180,Petropavlovsk-Kamchatskiy,RU,2020-11-07 18:30:56,53.05,158.65,23.0,79,15,6.71,few clouds
181,Cabo San Lucas,MX,2020-11-07 18:32:21,22.89,-109.91,84.0,74,75,8.05,broken clouds
182,Iqaluit,CA,2020-11-07 18:30:12,63.75,-68.51,10.4,72,75,11.41,broken clouds
183,Port Elizabeth,ZA,2020-11-07 18:32:22,-33.92,25.57,64.4,88,0,3.36,clear sky
184,Georgetown,MY,2020-11-07 18:28:43,5.41,100.34,78.8,88,40,4.7,moderate rain
185,North Bend,US,2020-11-07 18:29:29,43.41,-124.22,46.4,93,90,5.82,overcast clouds
186,Komsomolskiy,UZ,2020-11-07 18:31:50,40.43,71.72,51.8,60,99,3.89,mist
187,Binzhou,CN,2020-11-07 18:32:22,37.37,118.02,45.0,51,0,8.28,clear sky
188,Santa Lucia,ES,2020-11-07 18:32:22,27.91,-15.54,71.6,78,75,5.82,broken clouds
189,Sonoita,MX,2020-11-07 18:32:23,31.85,-112.83,71.55,47,1,30.4,clear sky
190,Zuwarah,LY,2020-11-07 18:32:23,32.93,12.08,70.16,60,0,7.29,clear sky
191,Chernyshevskiy,RU,2020-11-07 18:32:23,63.01,112.47,-7.31,92,97,3.13,overcast clouds
192,Vestmannaeyjar,IS,2020-11-07 18:32:23,63.44,-20.27,44.6,87,75,25.28,broken clouds
193,Saint George,US,2020-11-07 18:30:19,37.1,-113.58,59.0,30,40,23.04,scattered clouds
194,Qinnan,CN,2020-11-07 18:32:23,33.25,119.91,54.01,49,0,5.35,clear sky
195,Airai,TL,2020-11-07 18:32:24,-8.93,125.41,62.6,59,89,1.86,overcast clouds
196,Quatre Cocos,MU,2020-11-07 18:32:24,-20.21,57.76,73.4,78,40,8.05,scattered clouds
197,Teodoro Sampaio,BR,2020-11-07 18:32:24,-22.53,-52.17,97.16,17,0,3.85,clear sky
198,Huadian,CN,2020-11-07 18:32:24,42.96,126.75,27.37,81,0,15.55,clear sky
199,Longyearbyen,SJ,2020-11-07 18:32:24,78.22,15.64,32.0,94,40,3.36,scattered clouds
200,Ferkessedougou,CI,2020-11-07 18:32:24,9.6,-5.2,81.27,32,80,0.72,broken clouds
201,Haines Junction,CA,2020-11-07 18:32:25,60.75,-137.51,-18.4,75,99,1.12,overcast clouds
202,Faya,SA,2020-11-07 18:32:25,18.39,42.45,62.6,72,0,2.21,clear sky
203,Dikson,RU,2020-11-07 18:32:25,73.51,80.55,-2.79,89,3,12.1,clear sky
204,Lebu,CL,2020-11-07 18:32:25,-37.62,-73.65,57.07,59,0,21.5,clear sky
205,Cayenne,GF,2020-11-07 18:32:05,4.93,-52.33,78.8,94,0,5.82,heavy intensity rain
206,Richards Bay,ZA,2020-11-07 18:30:57,-28.78,32.04,71.02,92,0,4.99,clear sky
207,Piacabucu,BR,2020-11-07 18:32:26,-10.41,-36.43,81.14,77,10,14.54,clear sky
208,Koulikoro,ML,2020-11-07 18:32:26,14.0,-7.75,83.97,14,0,9.37,clear sky
209,Lagoa,PT,2020-11-07 18:32:26,39.05,-27.98,61.5,71,0,20.96,light rain
210,Paamiut,GL,2020-11-07 18:32:26,61.99,-49.67,29.17,90,100,15.46,overcast clouds
211,Kargala,RU,2020-11-07 18:32:26,56.62,83.96,41.0,75,50,12.55,scattered clouds
212,Narsaq,GL,2020-11-07 18:32:07,60.92,-46.05,30.2,74,75,4.7,broken clouds
213,Esperance,AU,2020-11-07 18:32:27,-33.87,121.9,55.4,100,75,8.05,broken clouds
214,Tokmak,UA,2020-11-07 18:32:27,47.25,35.71,50.92,71,100,11.27,overcast clouds
