City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Porbandar,IN,2020-11-07 00:48:18,21.64,69.61,76.33,56,0,8.25
126,Acajutla,SV,2020-11-07 00:45:11,13.59,-89.83,73.4,100,40,5.37
127,Saldanha,ZA,2020-11-07 00:43:32,-33.01,17.94,57.2,93,8,5.82
128,Wexford,IE,2020-11-07 00:48:18,52.33,-6.46,53.01,86,100,7.0
129,Singapore,SG,2020-11-07 00:43:55,1.29,103.85,80.6,100,40,2.24
130,Mar Del Plata,AR,2020-11-07 00:43:41,-38.0,-57.56,63.0,88,20,6.93
131,Nanakuli,US,2020-11-07 00:48:19,21.39,-158.15,84.0,69,90,5.82
132,Salalah,OM,2020-11-07 00:48:19,17.02,54.09,71.6,78,20,4.7
133,Henties Bay,NA,2020-11-07 00:48:19,-22.12,14.28,59.0,92,0,1.01
134,Bengkulu,ID,2020-11-07 00:45:05,-3.8,102.27,80.92,71,6,3.18
135,Kavaratti,IN,2020-11-07 00:45:51,10.57,72.64,82.53,76,20,7.49
136,Havoysund,NO,2020-11-07 00:48:20,71.0,24.66,41.0,80,75,36.91
137,Umba,RU,2020-11-07 00:48:20,66.69,34.34,37.78,78,0,16.75
138,Chuy,UY,2020-11-07 00:43:48,-33.7,-53.46,60.64,92,100,8.68
139,Raudeberg,NO,2020-11-07 00:43:45,61.99,5.14,50.0,89,100,28.95
140,Ilulissat,GL,2020-11-07 00:48:20,69.22,-51.1,12.2,51,100,20.8
141,Buraydah,SA,2020-11-07 00:48:20,26.33,43.98,69.8,30,0,6.93
142,Yeppoon,AU,2020-11-07 00:44:39,-23.13,150.73,82.4,58,40,12.75
143,Gympie,AU,2020-11-07 00:46:18,-26.19,152.66,72.0,72,97,3.0
144,Cascais,PT,2020-11-07 00:48:21,38.7,-9.42,60.01,100,1,7.23
145,Mahina,PF,2020-11-07 00:48:21,-17.51,-149.49,86.0,58,75,12.75
146,Oksfjord,NO,2020-11-07 00:48:21,70.24,22.35,41.0,80,75,12.75
147,Floro,NO,2020-11-07 00:48:22,61.6,5.03,50.0,81,99,14.99
148,Hibbing,US,2020-11-07 00:48:22,47.43,-92.94,48.2,66,1,4.92
149,Helong,CN,2020-11-07 00:48:22,42.54,129.0,47.48,52,0,10.58
150,Alofi,NU,2020-11-07 00:44:01,-19.06,-169.92,80.6,57,40,11.41
151,Shaoyang,CN,2020-11-07 00:48:22,27.23,111.45,61.88,65,0,2.39
152,Da Nang,VN,2020-11-07 00:44:42,16.07,108.22,77.0,94,75,1.12
153,Tuktoyaktuk,CA,2020-11-07 00:44:03,69.45,-133.04,14.0,85,75,20.8
